dataset,num_positive_bucket,source_file,selection_betas,num_positive,top_k,pubmed_retrieved,pubmed_precision,pubmed_recall,subset_retrieved,subset_precision,subset_recall,pseudo_precision,pseudo_recall,optimization_score,qg_time_seconds,query_size_paths,query_size_avg_path_len,query_size_ANDs,query_size_NOTs,query_size_added_ORs,query_size_synonym_ORs,query_size_ORs,logical_operators,pubmed_f1,pubmed_f3
tar2018,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.4,dc=0.5,maxd=4,maxf=0.58,mof=10,maxs=None,midre=0.001,midrs=0.0325,mins=3,mwfl=0.001,ne=50,pfs=1.1,rmf=1.2,rmidr=0.3,rweight=4,k=0.5,tkoc=1500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.01,mrp=0.01,mto=0.07,pb=0.3,te=False,tiab=True/qg_results.jsonl","1,2",22.137931034482758,73.06896551724138,1292.0,0.042704222495616846,0.4060968558232426,108.51724137931035,0.12491130773992785,0.501514571270943,0.3609157871901418,0.4896757158435413,0.3538237949293512,2.925509452819824,1.206896551724138,2.413793103448276,1.8275862068965518,0.0,1.3103448275862069,0.0,0.20689655172413793,3.3448275862068964,0.06899382865432063,0.15604097634623784
sigir2017,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.4,dc=0.5,maxd=4,maxf=0.58,mof=10,maxs=None,midre=0.001,midrs=0.0325,mins=3,mwfl=0.001,ne=50,pfs=1.1,rmf=1.2,rmidr=0.3,rweight=4,k=0.5,tkoc=1500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.01,mrp=0.01,mto=0.07,pb=0.3,te=False,tiab=True/qg_results.jsonl","1,2",10.922077922077921,39.34415584415584,2538.4545454545455,0.009136056305167973,0.5299508766685723,82.00649350649351,0.1299467320271172,0.5969840532764392,0.3538402607997696,0.5308545533912942,0.3339806434485443,1.7993743435128944,1.0844155844155845,2.0140692640692643,1.1623376623376624,0.0,0.5064935064935064,0.0,0.08441558441558442,1.7532467532467533,0.017209004378464128,0.06343879524116917
tar2019,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.4,dc=0.5,maxd=4,maxf=0.58,mof=10,maxs=None,midre=0.001,midrs=0.0325,mins=3,mwfl=0.001,ne=50,pfs=1.1,rmf=1.2,rmidr=0.3,rweight=4,k=0.5,tkoc=1500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.01,mrp=0.01,mto=0.07,pb=0.3,te=False,tiab=True/qg_results.jsonl","1,2",15.90625,53.53125,692.59375,0.018025123315628427,0.3947373982992324,92.46875,0.1056937975407422,0.4840451973808564,0.3408602641709896,0.515485412916524,0.33608669214041187,2.156364969909191,1.09375,2.375,1.5,0.0,1.03125,0.0,0.09375,2.625,0.0315227332902844,0.09059151166619185
sr_updates,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.4,dc=0.5,maxd=4,maxf=0.58,mof=10,maxs=None,midre=0.001,midrs=0.0325,mins=3,mwfl=0.001,ne=50,pfs=1.1,rmf=1.2,rmidr=0.3,rweight=4,k=0.5,tkoc=1500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.01,mrp=0.01,mto=0.07,pb=0.3,te=False,tiab=True/qg_results.jsonl","1,2",15.933333333333334,54.666666666666664,1033.2,0.03069500198987568,0.4802124558211514,110.33333333333333,0.12009022276059286,0.5290609406696363,0.3889083009294164,0.5920367488024288,0.3779932716414277,1.8072883288065593,1.1333333333333333,2.2333333333333334,1.4666666666666666,0.0,0.6,0.0,0.13333333333333333,2.2,0.0516094033997044,0.128126040152219
tar2019,>=50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.4,dc=0.5,maxd=4,maxf=0.58,mof=10,maxs=None,midre=0.001,midrs=0.0325,mins=3,mwfl=0.001,ne=50,pfs=1.1,rmf=1.2,rmidr=0.3,rweight=4,k=0.5,tkoc=1500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.01,mrp=0.01,mto=0.07,pb=0.3,te=False,tiab=True/qg_results.jsonl","1,2",94.41666666666667,300.4166666666667,521.3333333333334,0.05358334434779363,0.24012879026047532,319.0,0.14433632760106224,0.44673675671694424,0.5148955249141556,0.5358497316350601,0.500578959079254,12.367567817370096,1.25,2.888888888888889,2.3333333333333335,0.0,3.5833333333333335,0.0,0.25,6.166666666666667,0.0761897183410127,0.14349162757725215
sigir2017,>=50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.4,dc=0.5,maxd=4,maxf=0.58,mof=10,maxs=None,midre=0.001,midrs=0.0325,mins=3,mwfl=0.001,ne=50,pfs=1.1,rmf=1.2,rmidr=0.3,rweight=4,k=0.5,tkoc=1500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.01,mrp=0.01,mto=0.07,pb=0.3,te=False,tiab=True/qg_results.jsonl","1,2",85.3076923076923,266.6923076923077,2996.076923076923,0.019569644944461603,0.46891833156564416,195.69230769230768,0.25186458084413216,0.5599853663959998,0.6227505033936673,0.4612609674947439,0.5457723717521615,10.570263422452486,1.5384615384615385,3.1410256410256414,3.230769230769231,0.0,3.6923076923076925,0.0,0.5384615384615384,7.461538461538462,0.036795081357674425,0.12974526395171332
tar2018,>=50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.4,dc=0.5,maxd=4,maxf=0.58,mof=10,maxs=None,midre=0.001,midrs=0.0325,mins=3,mwfl=0.001,ne=50,pfs=1.1,rmf=1.2,rmidr=0.3,rweight=4,k=0.5,tkoc=1500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.01,mrp=0.01,mto=0.07,pb=0.3,te=False,tiab=True/qg_results.jsonl","1,2",186.2,526.0666666666667,353.6333333333333,0.11316600643236203,0.21739228424676232,475.8333333333333,0.19478720022267007,0.5353650424106403,0.5479706485913842,0.5062141232542863,0.5163332840849751,24.32008798122406,1.3,3.316666666666667,2.966666666666667,0.0,4.0,0.0,0.3,7.266666666666667,0.13026670151865033,0.18143822389713993
sigir2017,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.3,dc=0.5,maxd=7,maxf=0.63,mof=10,maxs=None,midre=0.0045,midrs=0.043,mins=3,mwfl=0.0004,ne=50,pfs=1.1,rmf=1.5,rmidr=3,rweight=6.5,k=1.2,tkoc=500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.03,mrp=0.01,mto=0.15,pb=0.3,te=False,tiab=True/qg_results.jsonl","5,6,7,8,9,10",10.922077922077921,94.01298701298701,1998.051948051948,0.008882531113927523,0.5528016424890501,83.88311688311688,0.10049877977860838,0.6387522872679171,0.4958419713492855,0.4231135528754759,0.40986335019784986,3.640563008073088,1.5064935064935066,2.492965367965368,2.5454545454545454,0.012987012987012988,2.331168831168831,0.0,0.5064935064935064,5.396103896103896,0.01546393535506681,0.05956174107995683
tar2019,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.3,dc=0.5,maxd=7,maxf=0.63,mof=10,maxs=None,midre=0.0045,midrs=0.043,mins=3,mwfl=0.0004,ne=50,pfs=1.1,rmf=1.5,rmidr=3,rweight=6.5,k=1.2,tkoc=500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.03,mrp=0.01,mto=0.15,pb=0.3,te=False,tiab=True/qg_results.jsonl","5,6,7,8,9,10",15.90625,128.125,1482.25,0.021378475441198537,0.4530689316510977,113.8125,0.09189552092850864,0.547632498577361,0.5130142218907869,0.4239692499842777,0.4481450448163979,6.547747045755386,1.59375,2.838541666666667,3.1875,0.0625,3.21875,0.0,0.59375,7.0625,0.03453732584852936,0.10602636868318713
tar2018,<50,"lc=True,maxdf=0.5,mesh=True,ma=True,mindf=100,rw=True,rmn=True,rmp=True,d=503679/boot,=True,cw=0.3,dc=0.5,maxd=7,maxf=0.63,mof=10,maxs=None,midre=0.0045,midrs=0.043,mins=3,mwfl=0.0004,ne=50,pfs=1.1,rmf=1.5,rmidr=3,rweight=6.5,k=1.2,tkoc=500/cf=0.002,cb=0.6,mh_noexp=False,mro=0.03,mrp=0.01,mto=0.15,pb=0.3,te=False,tiab=True/qg_results.jsonl","5,6,7,8,9,10",22.137931034482758,174.82758620689654,662.9310344827586,0.04644986239883147,0.3653207146572963,138.6206896551724,0.09729922607052213,0.5523524720526221,0.538241140213454,0.41560814987200384,0.4676329614843241,7.962657303645693,1.7241379310344827,3.2183908045977017,4.103448275862069,0.06896551724137931,4.620689655172414,0.0,0.7241379310344828,9.517241379310345,0.06899460181418485,0.16091934932521187
